Jurisdiction,Agenda Page
Orinda,https://www.cityoforinda.org/393/City-Council-Agendas-and-Minutes
El Cerrito,https://www.el-cerrito.org/698/Agendas-Minutes
Pleasant Hill,https://www.pleasanthillca.gov/277/Agendas
Lafayette,https://www.lovelafayette.org/city-hall/city-council/city-council-meetings
Danville,https://www.danville.ca.gov/129/Meetings-Agendas-Minutes
San Ramon,https://www.sanramon.ca.gov/how_do_i_/get_involved/official
Concord,https://www.cityofconcord.org/965/Public-Meetings-and-Agendas
Walnut Creek,https://www.walnutcreekca.gov/government/public-meeting-agendas-and-videos/public-meeting-schedule
Crescent City,https://www.crescentcity.org/meetings
Crescent City,https://crescentcity.org/plancomm.html
Del Norte County,https://delnortecoca.portal.civicclerk.com/
Del Norte County,"County of Del Norte, California - Planning Commission (del-norte.ca.us)"
Placerville,https://www.cityofplacerville.org/pc-meetings
Placerville,https://www.cityofplacerville.org/city-council-agenda
South Lake Tahoe,https://cityofslt.us/80/City-Council
South Lake Tahoe,http://cityofslt.us/114/Planning-Commission
Clovis,https://cityofclovis.com/government/city-council/city-council-agendas/
Clovis,https://cityofclovis.com/planning-and-development/planning/planning-commission/planning-commission-agendas/
Coalinga,https://www.coalinga.com/AgendaCenter/City-Council-5
Coalinga,https://www.coalinga.com/AgendaCenter/Planning-Commission-4
Firebaugh,https://firebaugh.org/meetingsagendas/
Fowler,http://fowlercity.org/agendas-minutes/
Fresno,https://fresno.primegov.com/public/portal
Fresno,https://fresno.legistar.com/DepartmentDetail.aspx?ID=24452&GUID=26F8DAF5-AC08-46BE-A9E4-EC0C6DDC0F66&Search=
Huron,http://cityofhuron.com/meeting-agenda-and-minutes/
Kerman,https://cityofkerman.net/planning-commission-meeting-agendas-minutes/
Kerman,https://cityofkerman.net/city-council-meeting-agendas-minutes/
Kingsburg,https://cityofkingsburg-ca.gov/AgendaCenter/City-Council-9
Kingsburg,https://cityofkingsburg-ca.gov/AgendaCenter/Planning-Commission-8
Mendota,http://ci.mendota.ca.us/agendas-and-minutes/
